user_id,first_name,last_name,email,phone_number,country,country_code,registration_date,registration_source,ip_address,account_status,kyc_status,kyc_verified_date,consent_terms_accepted,consent_privacy_policy,consent_marketing_emails,consent_data_sharing,consent_timestamp,email_verified,two_factor_enabled
b4a35598-b5d0-45ba-9800-59ce970d9200,Katherine,Anderson,katherine.anderson4507@gmail.com,+1890838637,United States,US,2023-08-05T18:21:03Z,mobile_ios,151.142.3.195,suspended,verified,2023-08-06,True,True,True,True,2023-08-05T18:22:37Z,True,False
b22a873f-ccd2-4727-a046-3830f0dfdcf6,Amanda,Scott,amanda.scott3528@hotmail.com,+971781618495,UAE,AE,2024-06-06T21:09:15Z,referral,148.98.35.12,active,verified,2024-06-07,True,True,False,False,2024-06-06T21:09:28Z,True,False
c10f019e-77cd-4096-8d9f-9dea20443b5b,David,Robinson,david.robinson6228@yahoo.com,+1192832764,United States,US,2025-09-14T12:02:01Z,web,254.112.166.216,active,verified,2025-09-19,True,True,True,False,2025-09-14T12:03:47Z,True,True
fa49d2b5-47ed-4892-83bb-35b7b1ce2abe,Robert,Green,robert.green4387@mail.com,+1724238849,United States,US,2025-05-31T02:00:17Z,mobile_android,110.204.185.57,active,pending,,True,True,True,False,2025-05-31T02:02:09Z,False,True
1127eb8a-0723-4a1a-b33d-742a458f7085,Angela,Lopez,angela.lopez1797@gmail.com,+1848018451,United States,US,2023-09-06T12:33:40Z,web,76.222.80.117,suspended,pending,,True,True,True,False,2023-09-06T12:35:21Z,True,False
e359da08-3698-4e4c-bc6f-d47ae4bc86c1,Patrick,King,patrick.king2928@me.com,+61288095701,Australia,AU,2023-06-15T07:16:58Z,mobile_ios,238.185.157.62,deactivated,pending,,True,True,True,True,2023-06-15T07:18:49Z,True,False
82383b70-9ee3-49e6-878d-61d145fe1fd5,David,Hernandez,david.hernandez1134@live.com,+34383465787,Spain,ES,2025-04-07T12:43:31Z,web,31.126.115.17,suspended,verified,2025-04-14,True,True,False,False,2025-04-07T12:45:09Z,True,False
be5b5814-7e0d-41c6-bc38-a1871130b642,Ashley,Cox,ashley.cox118@outlook.com,+1382997376,United States,US,2025-09-07T09:13:25Z,web,49.48.49.169,active,verified,2025-09-07,True,True,True,False,2025-09-07T09:13:32Z,True,False
fea4043e-8400-4ffd-9860-ec1e4b253cd1,Kathleen,Morales,kathleen.morales1613@gmail.com,+1317810801,United States,US,2024-06-11T02:07:04Z,mobile_ios,238.121.85.105,suspended,failed,2024-06-15,True,True,True,True,2024-06-11T02:08:46Z,True,True
e67ffc66-d6b0-408c-a22a-4c9bdd86f147,Rebecca,Davis,rebecca.davis6210@hotmail.com,+1872343098,United States,US,2024-08-29T11:58:41Z,web,16.160.29.13,pending_verification,not_started,,True,True,False,False,2024-08-29T11:59:14Z,True,False
